STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-09,0,62,68.0,56
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-09,0,79,87.0,56
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-10,2,84,93.0,73
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-10,0,81,85.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-10,1,82,87.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-10,0,62,70.0,54
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-10,1,80,90.0,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-11,0,82,92.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-11,0,81,86.0,78
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-11,0,82,92.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-11,0,58,65.0,54
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-11,0,80,91.0,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-12,0,82,91.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-12,0,82,91.0,80
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-12,0,83,91.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-12,0,58,91.0,53
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-12,0,79,91.0,53
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-13,0,85,91.0,77
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-13,0,82,86.0,79
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-13,0,85,94.0,77
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-13,0,60,66.0,56
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-13,0,81,91.0,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-14,0,83,92.0,75
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-14,0,81,86.0,79
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-14,0,81,92.0,77
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-14,0,59,67.0,77
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-14,0,80,90.0,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-15,0,87,94.0,74
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-15,0,81,86.0,78
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-15,0,82,87.0,78
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-15,0,61,69.0,52
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-15,0,82,93.0,76
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-16,0,82,93.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-16,0,81,93.0,51
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-16,0,60,93.0,51
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-16,0,80,93.0,51
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-17,0,84,93.0,73
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-17,0,82,87.0,75
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-17,0,83,88.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-17,0,62,72.0,53
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-17,1,81,89.0,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-18,0,86,94.0,75
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-18,0,82,89.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-18,0,84,88.0,79
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-18,0,62,73.0,50
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-18,0,83,89.0,77
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-19,0,83,88.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-19,0,84,90.0,78
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-19,0,62,71.0,49
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-19,0,83,93.0,49
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-20,0,83,92.0,70
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-20,0,82,87.0,78
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-20,0,82,90.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-20,0,59,66.0,52
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-20,0,80,91.0,52
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-21,0,81,91.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-21,0,82,91.0,79
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-21,0,82,91.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-21,0,60,93.0,54
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-21,0,81,93.0,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-22,0,88,93.0,74
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-22,0,81,86.0,74
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-22,0,85,95.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-22,0,62,70.0,50
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-22,0,80,91.0,50
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-23,0,86,92.0,67
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-23,0,80,86.0,67
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-23,0,82,88.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-23,0,61,72.0,44
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-23,0,79,91.0,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-24,0,83,91.0,68
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-24,0,80,87.0,71
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-24,0,82,87.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-24,0,63,72.0,53
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-24,0,79,91.0,68
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-25,0,85,96.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-25,0,81,86.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-25,0,83,89.0,77
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-25,0,62,73.0,77
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-25,0,81,92.0,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-26,0,89,95.0,75
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-26,0,83,88.0,79
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-26,0,84,89.0,78
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-26,0,63,69.0,52
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-26,0,83,92.0,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-27,0,85,94.0,75
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-27,0,82,89.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-27,0,83,88.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-27,0,60,66.0,75
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-27,0,82,89.0,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-28,0,83,91.0,73
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-28,0,82,90.0,76
